Norma Juridica,Tipo Organiz.,Nombre,Personalidad Juridica,Fecha Pers. Juridica,Insc. Registro Civil,LugarReunion,Ciudad,Full Address,Latitude,Longitude,Vigencia Directiva,Modif. Estatutos,Fecha Disolucion
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS LAS PRADERAS DE SANTA CAROLINA,317,04/11/2010,117158,LOS HINOJOS N°3654,Temuco,LOS HINOJOS N°3654 Temuco ,-38.68964,-72.5188697,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS POBLACIÓN COIHUECO,318,26/11/2010,117159,HUENTENAO MILLANAO N°351,Temuco,HUENTENAO MILLANAO N°351 Temuco ,-38.723234,-72.620335,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA ANDALUCIA,319,28/01/2011,117160,ENREDADERAS N° 1850,Temuco,ENREDADERAS N° 1850 Temuco ,-38.7526037,-72.6255727,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS COMPARTIENDO SUEÑOS,320,24/02/2011,117161,CHAHUILCO S/N,Temuco,CHAHUILCO S/N Temuco ,-38.7188922,-72.6109164,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA JOSÉ MIGUEL GARCÍA,321,24/03/2011,117162,PASAJE 3 N°01794,Temuco,PASAJE 3 N°01794 Temuco ,-38.7137585,-72.5559449,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS SANTA MARÍA DE LABRANZA,322,12/04/2011,117163,EL PUENTE N°01367,Temuco,EL PUENTE N°01367 Temuco ,-38.7383905,-72.5904598,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS LOS DIAMANTES,323,26/04/2011,117164,AGUA MARINA N° 587 LABRANZA,Temuco,AGUA MARINA N° 587 LABRANZA Temuco ,-38.7716235,-72.7542551,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS RENACER DE EVARISTO MARÍN,324,09/05/2011,117165,NAHUELBUTA N°2735,Temuco,NAHUELBUTA N°2735 Temuco ,-38.7183762,-72.5627738,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS PARQUE COSTANERA 2,325,26/08/2011,117166,VALLE LARGO ESQUINA VALLE ALEGRE S/N,Temuco,VALLE LARGO ESQUINA VALLE ALEGRE S/N Temuco ,-38.7059704,-72.5405521,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS LOS CONQUISTADORES,326,30/08/2011,117167,RIO AMAZONAS N°731,Temuco,RIO AMAZONAS N°731 Temuco ,-38.7274967,-72.5554852,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS BICENTENARIO,327,30/08/2011,117168,"KM. 15,5 AL 17,5 CAMINO LABRANZA",Temuco,"KM. 15,5 AL 17,5 CAMINO LABRANZA Temuco ",-38.7631603,-72.725001,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS LOS AROMOS DEL CARMEN,328,09/09/2011,117169,LOS MUSICOS N°330,Temuco,LOS MUSICOS N°330 Temuco ,-38.7131741,-72.6464845,VENCIDA,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS NUEVA GENERACIÓN LANIN,329,18/10/2011,117170,RECREO ESQUINA FRANCISCO POBLETE S/N,Temuco,RECREO ESQUINA FRANCISCO POBLETE S/N Temuco ,-38.7258181,-72.6058193,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA GANADEROS,330,26/12/2011,117171,MANTUA ESQUINA VAQUERIA S/N,Temuco,MANTUA ESQUINA VAQUERIA S/N Temuco ,-38.7383905,-72.5904598,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS NEHUEN PORTAL DE SAN FRANCISCO,331,11/01/2012,117172,CIRCUNVALACIÓN FRANCISCO HUENCHUMILLA N°01127,Temuco,CIRCUNVALACIÓN FRANCISCO HUENCHUMILLA N°01127 Temuco ,-38.68739,-72.65546,VENCIDA,,
